Sr. No.,Brand,Category,Product Name,ASIN,Product URL,Sales Frequency,Title,Description,Bulletpoints(3),Grade,Spell check,Dimensions details,Sentence case,A+ content,Grade2,Main image,Additional images,Infographics,Lifestyles,Video,A+ Content3,Info/lifestyle Total,Total Images,Info present,Lifestyle present,Video present or not,A+ content4,Image quality,Product information,Remark,Score,Grade5,Final Grade,Amazon USA,Amazon UK,Amazon CA,Amazon MX,Amazon Germany,Amazon France,Amazon Italy,Amazon Spain,Amazon Netherlands,Amazon Belgium,Amazon Sweden ,Amazon Poland,Amazon Australia,Amazon Japan,Amazon Singapore,Amazon UAE
1,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Olive Green)",B07CWBTBRK,https://www.amazon.in/dp/B07CWBTBRK?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,1,0,7,0,1,7,9,0,1,0,1,acceptable,available,0,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Pink)",B07CWB65DY,https://www.amazon.in/dp/B07CWB65DY?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,1,0,7,0,1,7,9,0,1,0,1,acceptable,available,0,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Grey & Navy Blue)",B09F5PL8HR,https://www.amazon.in/dp/B09F5PL8HR?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,2,0,1,0,0,1,4,0,1,0,0,acceptable,available,need more images,32%,C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 3, Grey,Navy blue,Sky Blue)",B09F5SR1GY,https://www.amazon.in/dp/B09F5SR1GY?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,3,0,2,0,1,2,6,0,1,0,1,acceptable,available,0,63%,B,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Navy Blue)",B07S8Q85B4,https://www.amazon.in/dp/B07S8Q85B4?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,1,A,1,0,0,8,0,1,8,9,0,1,0,1,acceptable,available,main image is not on white background,80%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM  (Set of 2,Olive Green & Pink)",B07SRVPJMX,https://www.amazon.in/dp/B07SRVPJMX?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,3,0,5,0,0,5,9,0,1,0,0,acceptable,available,0,60%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Space Grey)",B0819PW15B,https://www.amazon.in/dp/B0819PW15B?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,1,0,4,0,1,4,6,0,1,0,1,acceptable,available,can improve A+ content,63%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Mush,Home and Kitchen,"Mush bamboo, ultra-soft & quick dry Face/Wash Towel ideal for toddlers, home & travelling (Set of 5, Green, Pink, Golden Brown, Blue, Cream) (Set of 5, Green, Pink, Golden Brown, Blue, Cream)",B07R6DDL5C,https://www.amazon.in/dp/B07R6DDL5C?ref=myi_title_dp&th=1,High,1,1,1,A,0-B,1,1,1,B,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,main image is blur,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Mush,Home and Kitchen,"Mush Bamboo Hand Towels - Ultra Soft, Absorbent & Quick Dry Towel for Kids, Sports, Gym, Travel, Spa & GYM (Set of 2,Grey & Pink)",B09F5Z518M,https://www.amazon.in/dp/B09F5Z518M?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,1,0,B,1,3,0,5,0,0,5,9,0,1,0,0,acceptable,available,0,60%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mush,Home and Kitchen,"Mush bamboo Bath Towel - Ultra Soft, Highly Absorbent & Odour Resistant Towel for Children & Adults | Full size: 29 x 59 inches (Sky Blue)",B07GCHY9HX,https://www.amazon.in/dp/B07GCHY9HX?ref=myi_title_dp&th=1,High,1,1,1,A,1,1,0-B,1,B,1,0,0,6,0,1,6,7,0,1,0,1,acceptable,available,0,69%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
